titre,aut.nom,prix
"Ugly Duckling and Me!, The",Grunwald,"50,10"
In Time,Blaschek,"76,90"
R.S.V.P. ,Cumesky,"69,23"
The Cheat,Usmar,"80,17"
Thunder Rock,Fagge,"36,56"
Sparrows,Flagg,"23,86"
Zack and Miri Make a movie,Hargey,"71,69"
Aaltra,MacCrackan,"96,46"
Eloise at Christmastime,Naisbet,"49,25"
"Emperor Waltz, The",Oliva,"44,40"
Outrage (Autoreiji),Magner,"31,05"
Bilitis,Twinning,"60,09"
"Condemned, The",Gutans,"24,95"
Castles in the Sky,Free,"40,60"
Contract Killers,Darko,"19,64"
Gung Ho! (Gung Ho!: The Story of Carlson's Makin Island Raiders),Venditto,"92,47"
"Nanny Diaries, The",Gabbett,"73,63"
Invasion of Astro-Monster (Godzilla vs. Monster Zero) (Kaija daisensa),Edmand,"15,20"
XXY,Adelman,"74,91"
"Amelie (Fabuleux destin d'Amlie Poulain, Le)",Laidler,"72,10"
People on Sunday (Menschen am Sonntag),Romer,"73,87"
Thin Ice,Ivetts,"24,13"
For Love or Country: The Arturo Sandoval Story,Maxweell,"11,76"
"Place Beyond the Pines, The",Phinnessy,"80,94"
Video Games: The Movie,Coweuppe,"18,77"
Romy and Michele: In the Beginning,Carluccio,"46,55"
Pluto's Christmas Tree,Cartmale,"89,86"
Lucky Break,Medlin,"81,76"
6 Bullets,Ellit,"76,01"
"Underground Comedy Movie, The",Brooker,"48,42"
Jay-Z: Made in America,Grewe,"40,31"
At Midnight I'll Take Your Soul (a Meia-Noite Levarei Sua Alma),Kyte,"47,82"
Campfire Tales,Douglas,"78,63"
Honeymoon,Cooksley,"16,86"
Combien Tu M'aimes? (How Much Do You Love Me?),Banbridge,"56,30"
It Might Get Loud,O'Flaherty,"40,27"
Iris,Nobes,"45,27"
Safe Men,Widdup,"67,16"
Blind,Gladstone,"36,98"
Longtime Companion,Matonin,"63,73"
Jim Jefferies: Fully Functional (EPIX),Salsberg,"67,87"
Our Fathers,Crowd,"81,13"
Nature Calls,Boner,"48,92"
Far from Home,Beiderbecke,"78,44"
Memphis Belle,Hadwick,"47,05"
Love's Deadly Triangle: The Texas Cadet Murder,Trahearn,"18,74"
Copying Beethoven,Sissons,"69,38"
Harmony and Me,Arstingall,"44,32"
Biloxi Blues,Curman,"38,61"
Crooks in Clover (a.k.a. Monsi Gangster) (Les tontons flingus),Jeanel,"31,80"
Fightville,Coombes,"72,55"
Patema Inverted,Furze,"92,97"
High School,Valti,"61,68"
Nim's Island,Fetherstonhaugh,"75,09"
"Loveless, The (Breakdown)",Leadbeater,"60,31"
Korso,Rope,"76,14"
Song of the South,Asgodby,"39,39"
"Few Good Men, A",Elcock,"97,60"
Hell to Eternity,Koppelmann,"24,29"
Brave New World,Kenealy,"73,77"
"Deceivers, The",Jozef,"16,78"
Think Like a Man,Seabrooke,"30,65"
Off Beat,Capper,"74,67"
Little Lili (La petite Lili),Rothschild,"97,96"
"Girl, The",Janus,"68,33"
"Big Heat, The",Buddell,"76,60"
Mission Congo,Squibb,"53,45"
Moonlight Serenade,Tidder,"39,94"
Bomb It,Slight,"62,71"
Michael Laudrup - en Fodboldspiller,Songist,"11,60"
"Otra Familia, La",Bertomeu,"34,24"
Becket,Larner,"55,84"
Bright Leaves,Ivic,"98,37"
Peanuts - Die Bank zahlt alles,Gouldeby,"77,38"
Crazy Beautiful You,Adderson,"48,03"
Shooting Dogs (a.k.a. Beyond the Gates),Latter,"63,21"
Nurse 3D,Brizland,"19,76"
"Lonely Passion of Judith Hearne, The",Adicot,"21,06"
"Die Bademeister – Weiber, saufen, Leben retten",Rumble,"28,95"
"River Why, The",Deare,"12,58"
I Was A Communist for the FBI,Beeton,"63,73"
Good Advice,Knappen,"34,77"
"Titfield Thunderbolt, The",Jojic,"56,07"
"Shout, The",Westwell,"78,76"
Prayers for Bobby,Jefferd,"82,22"
Skies Above the Landscape (Nebo iznad krajolika),Geram,"69,58"
"Mysterious Geographic Explorations of Jasper Morello, The",Bennoe,"44,11"
Turistas,Southard,"11,08"
Wyoming Renegades,Gremain,"91,96"
"Silence of the Lambs, The",Valance,"65,30"
The Virginian,Janisson,"86,99"
"Wankers, The (Les branleuses)",Enocksson,"75,03"
"Dust Factory, The",Barfford,"86,00"
"Riddle of the Sands, The",Tomasicchio,"17,20"
Wrong Turn 5: Bloodlines,Scouler,"41,11"
